; En este archivo se definen 2 temáticas de juego para ser
; usadas con las reglas del juego de la Batalla Naval.
Numero de tematicas: 3 ; Cantidad de temáticas del juego.
Tematica 1; Acá empieza la descripción de la primera temática
Nombre: Combate maritimo
Tablero: 10x15; El tablero es de 10 filas por 15 columnas.Es medio chico igual para la cantidad de piezas que hay. Igual en un par de intentos termina
;saliendo
Numero de elementos de la flota: 3
Elemento 1: Fragata - Longitud: 4 - Cantidad: 2; La fragata
    ; ocupa 4 casilleros
    ; y el jugador dispone de 2 de ellas.
Elemento 2: Submarino - Longitud: 1 - Cantidad: 4
Elemento 3: Destructor - Longitud: 3 - Cantidad: 3
Tematica 2; Acá empieza la descripción de
    ; la segunda temática.
Nombre: Batalla espacial
Tablero: 10x15; El tablero es de 10 filas por 15 columnas.
Numero de elementos de la flota: 3
Elemento 1: Nave Capital - Longitud: 4 - Cantidad: 1; La Nave
    ; Capital ocupa 4 casilleros y el jugador dispone de 1 de ellas.
Elemento 2: Destructor - Longitud: 3 - Cantidad: 2; Existe un
    ; miembro de la flota que tiene el mismo nombre que uno
    ; usado en otra temática. Ocupa 3 casilleros.
Elemento 3: Caza - Longitud: 1 - Cantidad: 3
Tematica 3; tematica creada por mi
Nombre: Autos actuales
Tablero: 10x15;el tablero este va bien
Numero de elementos de la flota: 4
Elemento 1: Fiat 600 - Longitud: 1 - Cantidad: 4;esta es la pieza mas chica de todas
Elemento 2: Renault 9 - Longitud: 2 - Cantidad: 2
Elemento 3: Honda Civic - Longitud: 3 - Cantidad: 2
Elemento 4: Limousine - Longitud: 4 - Cantidad: 1 ;esta es la pieza mas grande de todas
;aca terminan todas las tematicas
;fin del archivo
